BucketName,ACLConfigured
112121,False
1set2,True
1set3,True
1set4,True
1set5,True
1set6,True
1set7,True
aws-athena-query-results-us-east-1-416207743258,True
aws-cloudtrail-logs-416207743258-034eb8d5,True
aws-cloudtrail-logs-416207743258-832e6fa2,True
aws-cloudtrail-logs-416207743258-9affd9a6,True
aws-cloudtrail-logs-416207743258-d52568c9,True
aws-cloudtrail-logs-416207743258-eaa70b7b,True
aws-cloudtrail-logs-sg-test,True
aws-sso-migration-ttn-ext-org,True
buck-9012,True
bucket-for-sso-data-adityaajay,True
central-cloudtrail-logs-bucket-416207743258,True
cf-templates-1svyd0r718srg-ap-south-1,True
cf-templates-1svyd0r718srg-us-east-1,True
cfn-template-cloudkeeper-onboarding,True
ck-lens-22699-aslf7asfn,True
ck-s3-payerautomation-externalpoc,True
cloudfront-source-demo-bucket,True
cloudtrail-log-query-table,True
cloudtrail-logs-12345654321,True
cloudtrail-logs-trail-02,True
config-bucket-416207743258,True
csv-cur-ttn-poc-ttn-org-pocs,True
cur-bucket-for-nops,True
datadogintegration-forwarderstack-forwarderbucket-qw5vcytds9nu,True
demobucketforckextension,True
dummmy--bucket,True
lifecycle1111,True
parquet-cur-ttn-poc-ttn-org-pocs,True
public-bucket-test.1,True
rate-limit-bucket-cf,True
sso-data-bucket,True
tagcomplianceadityaajaypoc,True
test-s3-public-1,True
testing-bucket-replication,True
war-script-test,True
