BucketName,LifecyclePolicyConfigured
112121,False
1set2,True
1set3,False
1set4,True
1set5,True
1set6,True
1set7,True
atestingbucketmyawsaccount,False
aws-athena-query-results-us-east-1-416207743258,False
aws-cloudtrail-logs-416207743258-034eb8d5,False
aws-cloudtrail-logs-416207743258-832e6fa2,False
aws-cloudtrail-logs-416207743258-9affd9a6,False
aws-cloudtrail-logs-416207743258-d52568c9,False
aws-cloudtrail-logs-416207743258-eaa70b7b,False
aws-cloudtrail-logs-sg-test,False
aws-sso-migration-ttn-ext-org,False
buck-9012,False
bucket-for-sso-data-adityaajay,False
central-cloudtrail-logs-bucket-416207743258,False
cf-templates-1svyd0r718srg-ap-south-1,False
cf-templates-1svyd0r718srg-us-east-1,False
cfn-template-cloudkeeper-onboarding,False
ck-lens-22699-aslf7asfn,False
ck-s3-payerautomation-externalpoc,False
cloudfront-source-demo-bucket,False
cloudtrail-log-query-table,False
cloudtrail-logs-12345654321,False
cloudtrail-logs-trail-02,False
config-bucket-416207743258,False
csv-cur-ttn-poc-ttn-org-pocs,False
cur-bucket-for-nops,False
datadogintegration-forwarderstack-forwarderbucket-qw5vcytds9nu,False
demobucketforckextension,False
dummmy--bucket,False
lifecycle1111,True
parquet-cur-ttn-poc-ttn-org-pocs,False
public-bucket-test.1,False
rate-limit-bucket-cf,False
sso-data-bucket,False
tagcomplianceadityaajaypoc,False
test-s3-public-1,False
testing-bucket-replication,False
war-script-test,False
