BucketName,ObjectLockStatus
1set2,Object Lock configuration does not exist
1set3,Object Lock configuration does not exist
1set4,Object Lock configuration does not exist
1set5,Object Lock configuration does not exist
1set6,Object Lock configuration does not exist
1set7,Object Lock configuration does not exist
aws-athena-query-results-us-east-1-416207743258,Object Lock configuration does not exist
aws-cloudtrail-logs-416207743258-034eb8d5,Object Lock configuration does not exist
aws-cloudtrail-logs-416207743258-832e6fa2,Object Lock configuration does not exist
aws-cloudtrail-logs-416207743258-9affd9a6,Object Lock configuration does not exist
aws-cloudtrail-logs-416207743258-d52568c9,Object Lock configuration does not exist
aws-cloudtrail-logs-416207743258-eaa70b7b,Object Lock configuration does not exist
aws-cloudtrail-logs-sg-test,Object Lock configuration does not exist
aws-sso-migration-ttn-ext-org,Object Lock configuration does not exist
buck-9012,Object Lock configuration does not exist
bucket-for-sso-data-adityaajay,Object Lock configuration does not exist
central-cloudtrail-logs-bucket-416207743258,Object Lock configuration does not exist
cf-templates-1svyd0r718srg-ap-south-1,Object Lock configuration does not exist
cf-templates-1svyd0r718srg-us-east-1,Object Lock configuration does not exist
cfn-template-cloudkeeper-onboarding,Object Lock configuration does not exist
ck-lens-22699-aslf7asfn,Object Lock configuration does not exist
ck-s3-payerautomation-externalpoc,Object Lock configuration does not exist
cloudfront-source-demo-bucket,Object Lock configuration does not exist
cloudtrail-log-query-table,Object Lock configuration does not exist
cloudtrail-logs-12345654321,Object Lock configuration does not exist
cloudtrail-logs-trail-02,Object Lock configuration does not exist
config-bucket-416207743258,Object Lock configuration does not exist
csv-cur-ttn-poc-ttn-org-pocs,Object Lock configuration does not exist
cur-bucket-for-nops,Object Lock configuration does not exist
datadogintegration-forwarderstack-forwarderbucket-qw5vcytds9nu,Object Lock configuration does not exist
demobucketforckextension,Object Lock configuration does not exist
dummmy--bucket,Object Lock configuration does not exist
lifecycle1111,Object Lock configuration does not exist
mycloudtrail192319989321,Object Lock configuration does not exist
parquet-cur-ttn-poc-ttn-org-pocs,Object Lock configuration does not exist
public-bucket-test.1,Object Lock configuration does not exist
rate-limit-bucket-cf,Object Lock configuration does not exist
sso-data-bucket,Object Lock configuration does not exist
tagcomplianceadityaajaypoc,Object Lock configuration does not exist
test-s3-public-1,Object Lock configuration does not exist
testing-bucket-replication,Object Lock configuration does not exist
war-script-test,Object Lock configuration does not exist
yytnot,Object Lock is enabled
