BucketName,BucketPolicyStatus
1set2,non-compliant
1set3,compliant
aws-athena-query-results-us-east-1-416207743258,compliant
aws-cloudtrail-logs-416207743258-832e6fa2,non-compliant
aws-cloudtrail-logs-416207743258-9affd9a6,non-compliant
aws-cloudtrail-logs-416207743258-d52568c9,non-compliant
aws-sso-migration-ttn-ext-org,compliant
buck-9012,compliant
bucket-for-sso-data-adityaajay,compliant
central-cloudtrail-logs-bucket-416207743258,non-compliant
cf-templates-1svyd0r718srg-ap-south-1,compliant
cf-templates-1svyd0r718srg-us-east-1,compliant
cfn-template-cloudkeeper-onboarding,compliant
ck-lens-22699-aslf7asfn,non-compliant
ck-s3-payerautomation-externalpoc,compliant
cloudfront-source-demo-bucket,compliant
cloudtrail-log-query-table,compliant
cloudtrail-logs-12345654321,non-compliant
cloudtrail-logs-trail-02,non-compliant
config-bucket-416207743258,non-compliant
csv-cur-ttn-poc-ttn-org-pocs,non-compliant
cur-bucket-for-nops,non-compliant
datadogintegration-forwarderstack-forwarderbucket-qw5vcytds9nu,non-compliant
demobucketforckextension,compliant
dummmy--bucket,non-compliant
parquet-cur-ttn-poc-ttn-org-pocs,non-compliant
public-bucket-test.1,compliant
rate-limit-bucket-cf,non-compliant
sso-data-bucket,compliant
tagcomplianceadityaajaypoc,compliant
test-s3-public-1,compliant
testing-bucket-replication,non-compliant
war-script-test,non-compliant
