BucketName,SSLPolicy
1set2,Compliant
aws-athena-query-results-us-east-1-416207743258,Compliant
aws-cloudtrail-logs-416207743258-832e6fa2,Compliant
aws-cloudtrail-logs-416207743258-9affd9a6,Compliant
aws-cloudtrail-logs-416207743258-d52568c9,Compliant
aws-sso-migration-ttn-ext-org,Compliant
buck-9012,Compliant
bucket-for-sso-data-adityaajay,Compliant
central-cloudtrail-logs-bucket-416207743258,Compliant
cf-templates-1svyd0r718srg-ap-south-1,Compliant
cf-templates-1svyd0r718srg-us-east-1,Compliant
cfn-template-cloudkeeper-onboarding,Compliant
ck-lens-22699-aslf7asfn,Compliant
ck-s3-payerautomation-externalpoc,Compliant
cloudfront-source-demo-bucket,Compliant
cloudtrail-log-query-table,Compliant
cloudtrail-logs-12345654321,Compliant
cloudtrail-logs-trail-02,Compliant
config-bucket-416207743258,Compliant
csv-cur-ttn-poc-ttn-org-pocs,Compliant
cur-bucket-for-nops,Compliant
datadogintegration-forwarderstack-forwarderbucket-qw5vcytds9nu,Compliant
demobucketforckextension,Compliant
dummmy--bucket,Compliant
parquet-cur-ttn-poc-ttn-org-pocs,Compliant
public-bucket-test.1,Compliant
rate-limit-bucket-cf,Compliant
sso-data-bucket,Compliant
tagcomplianceadityaajaypoc,Compliant
test-s3-public-1,Compliant
testing-bucket-replication,Compliant
war-script-test,Compliant
