BucketName,ServerSideEncryption
1set2,Enabled
aws-athena-query-results-us-east-1-416207743258,Enabled
aws-cloudtrail-logs-416207743258-832e6fa2,Enabled
aws-cloudtrail-logs-416207743258-9affd9a6,Enabled
aws-cloudtrail-logs-416207743258-d52568c9,Enabled
aws-sso-migration-ttn-ext-org,Enabled
buck-9012,Enabled
bucket-for-sso-data-adityaajay,Enabled
central-cloudtrail-logs-bucket-416207743258,Enabled
cf-templates-1svyd0r718srg-ap-south-1,Enabled
cf-templates-1svyd0r718srg-us-east-1,Enabled
cfn-template-cloudkeeper-onboarding,Enabled
ck-lens-22699-aslf7asfn,Enabled
ck-s3-payerautomation-externalpoc,Enabled
cloudfront-source-demo-bucket,Enabled
cloudtrail-log-query-table,Enabled
cloudtrail-logs-12345654321,Enabled
cloudtrail-logs-trail-02,Enabled
config-bucket-416207743258,Enabled
csv-cur-ttn-poc-ttn-org-pocs,Enabled
cur-bucket-for-nops,Enabled
datadogintegration-forwarderstack-forwarderbucket-qw5vcytds9nu,Enabled
demobucketforckextension,Enabled
dummmy--bucket,Enabled
parquet-cur-ttn-poc-ttn-org-pocs,Enabled
public-bucket-test.1,Enabled
rate-limit-bucket-cf,Enabled
sso-data-bucket,Enabled
tagcomplianceadityaajaypoc,Enabled
test-s3-public-1,Enabled
testing-bucket-replication,Enabled
war-script-test,Enabled
